"FieldID","Column","Row2","ID2","Easting","Northing","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",17,"J",235,493731.7365,5180868.735,2008,NA,"W W",412.8937008,3,"B",340.506442372727,1.21258704511686
"CookEast",13,"C",53,493577.0616,5180636.431,2008,NA,"W W",398.6220472,3,"B",340.506442372727,1.17067402432186
"CookEast",12,"B",29,493564.5137,5180609.886,2008,NA,"W W",389.7637795,3,"B",340.506442372727,1.14465904604928
"CookEast",18,"L",281,493754.8875,5180909.472,2008,NA,"W W",375.984252,3,"B",340.506442372727,1.1041913021676
"CookEast",16,"G",159,493669.9528,5180769.345,2008,NA,"W W",375,3,"B",340.506442372727,1.10130074892831
"CookEast",12,"A",8,493542.6467,5180578.128,2008,NA,"W W",356.2992126,3,"B",340.506442372727,1.04638023914386
"CookEast",14,"E",106,493627.1381,5180706.94,2008,NA,"W W",281.496063,3,"B",340.506442372727,0.826698200006057
"CookEast",17,"I",210,493703.8408,5180836.983,2008,NA,"W W",278.5433071,3,"B",340.506442372727,0.818026540581864
"CookEast",14,"D",79,493615.6537,5180675.171,2008,NA,"W W",274.6062992,3,"B",340.506442372727,0.80646432791838
"CookEast",11,"A",7,493510.7264,5180568.273,2008,NA,"W W",269.1929134,3,"B",340.506442372727,0.790566285689639
"CookEast",13,"D",78,493583.737,5180668.204,2008,NA,"W W",268.7007874,3,"B",340.506442372727,0.789121009069993
"CookEast",21,"P",380,493858.7015,5181036.954,2008,NA,"W W",265.7480315,3,"B",340.506442372727,0.7804493496458
"CookEast",22,"P",381,493890.6385,5181066.146,2008,NA,"W W",250.492126,3,"B",340.506442372727,0.735645775905188
"CookEast",15,"F",133,493656.3232,5180729.911,2008,NA,"W W",73.81889764,3,"B",340.506442372727,0.216791486015985
"CookEast",16,"H",185,493687.0856,5180801.108,2008,NA,"W W",51.18110236,3,"B",340.506442372727,0.150308763626786
"CookEast",21,"N",334,493849.7054,5180973.401,2008,NA,"W W",505.9055118,4,"B",287.083140353529,1.76222647967763
"CookEast",20,"L",283,493817.5198,5180925.874,2008,NA,"W W",485.2362205,4,"B",287.083140353529,1.69022889990145
"CookEast",20,"K",260,493796.5714,5180894.114,2008,NA,"W W",404.0354331,4,"B",287.083140353529,1.40738126454396
"CookEast",13,"B",30,493596.4176,5180604.629,2008,NA,"W W",396.6535433,4,"B",287.083140353529,1.38166784302115
"CookEast",17,"G",160,493701.8657,5180773.423,2008,NA,"W W",382.8740157,4,"B",287.083140353529,1.33366945627148
"CookEast",13,"A",9,493574.5508,5180572.871,2008,NA,"W W",348.9173228,4,"B",287.083140353529,1.21538771789359
"CookEast",15,"D",80,493647.5535,5180666.359,2008,NA,"W W",343.996063,4,"B",287.083140353529,1.1982454371106
"CookEast",22,"O",359,493891.9038,5181034.364,2008,NA,"W W",326.2795276,4,"B",287.083140353529,1.13653322587388
"CookEast",21,"O",358,493861.7152,5181003.956,2008,NA,"W W",309.0551181,4,"B",287.083140353529,1.07653524243678
"CookEast",22,"N",335,493881.6427,5181002.593,2008,NA,"W W",298.7204724,4,"B",287.083140353529,1.04053645237453
"CookEast",18,"J",236,493763.6217,5180846.699,2008,NA,"W W",281.496063,4,"B",287.083140353529,0.980538469285764
"CookEast",14,"C",54,493608.9784,5180643.397,2008,NA,"W W",278.5433071,4,"B",287.083140353529,0.97025310074631
"CookEast",15,"E",107,493659.0377,5180698.127,2008,NA,"W W",190.9448819,4,"B",287.083140353529,0.66512050016194
"CookEast",16,"F",134,493688.2401,5180737.545,2008,NA,"W W",182.5787402,4,"B",287.083140353529,0.635978622691541
"CookEast",19,"I",212,493767.6505,5180830.36,2008,NA,"W W",126.476378,4,"B",287.083140353529,0.440556620093574
"CookEast",17,"H",186,493718.9983,5180805.186,2008,NA,"W W",15.25590551,4,"B",287.083140353529,0.05314107088007
"CookEast",18,"I",211,493735.7261,5180814.947,2008,NA,"W W",3.444882,4,"B",287.083140353529,0.01199959703575
"CookEast",16,"C",56,493671.4302,5180643.584,2008,NA,"W W",554.1338583,5,"B",352.315335585714,1.57283490762265
"CookEast",21,"K",261,493828.4629,5180878.08,2008,NA,"W W",539.8622047,5,"B",352.315335585714,1.53232672600667
"CookEast",20,"J",238,493827.4543,5180862.302,2008,NA,"W W",485.2362205,5,"B",352.315335585714,1.37727816955032
"CookEast",19,"J",237,493798.2411,5180860.384,2008,NA,"W W",484.2519685,5,"B",352.315335585714,1.37448450177437
"CookEast",21,"M",309,493855.1652,5180939.617,2008,NA,"W W",478.3464567,5,"B",352.315335585714,1.35772249568632
"CookEast",15,"C",55,493640.8784,5180634.585,2008,NA,"W W",442.9133858,5,"B",352.315335585714,1.2571504588742
"CookEast",21,"L",284,493849.4113,5180909.839,2008,NA,"W W",439.4685039,5,"B",352.315335585714,1.2473726219422
"CookEast",23,"N",336,493913.5469,5180999.338,2008,NA,"W W",410.4330709,5,"B",352.315335585714,1.16495942538995
"CookEast",14,"B",31,493628.3346,5180611.596,2008,NA,"W W",400.0984252,5,"B",352.315335585714,1.13562591459395
"CookEast",16,"D",81,493679.4708,5180673.992,2008,NA,"W W",347.9330709,5,"B",352.315335585714,0.987561527293642
"CookEast",22,"L",285,493881.3489,5180939.032,2008,NA,"W W",331.2007874,5,"B",352.315335585714,0.940069176521618
"CookEast",22,"K",262,493860.4008,5180907.272,2008,NA,"W W",324.8031496,5,"B",352.315335585714,0.921910336545595
"CookEast",14,"A",10,493606.4679,5180579.838,2008,NA,"W W",313.484252,5,"B",352.315335585714,0.889783158257478
"CookEast",19,"H",188,493782.8084,5180798.563,2008,NA,"W W",302.6574803,5,"B",352.315335585714,0.859052813573501
"CookEast",17,"F",135,493720.1532,5180741.623,2008,NA,"W W",282.480315,5,"B",352.315335585714,0.801782626153314
"CookEast",16,"E",108,493690.9548,5180705.761,2008,NA,"W W",257.8740157,5,"B",352.315335585714,0.731940933741336
"CookEast",22,"M",310,493885.5034,5180970.809,2008,NA,"W W",256.8897638,5,"B",352.315335585714,0.72914726624922
"CookEast",18,"G",161,493733.7514,5180751.388,2008,NA,"W W",245.0787402,5,"B",352.315335585714,0.695623254073126
"CookEast",23,"O",360,493923.8077,5181031.109,2008,NA,"W W",196.3582677,5,"B",352.315335585714,0.557336703420985
"CookEast",20,"I",213,493799.5591,5180830.549,2008,NA,"W W",164.8622047,5,"B",352.315335585714,0.467939337428844
"CookEast",18,"H",187,493750.8839,5180783.151,2008,NA,"W W",140.2559055,5,"B",352.315335585714,0.398097645300703
"CookEast",20,"H",189,493814.7171,5180798.753,2008,NA,"W W",550.1968504,6,"B",411.300149985714,1.33770155546773
"CookEast",22,"I",215,493859.7475,5180844.162,2008,NA,"W W",546.7519685,6,"B",411.300149985714,1.32932596430852
"CookEast",18,"F",136,493752.0391,5180719.588,2008,NA,"W W",541.3385827,6,"B",411.300149985714,1.31616432116254
"CookEast",21,"I",214,493831.4509,5180814.515,2008,NA,"W W",531.496063,6,"B",411.300149985714,1.29223406074241
