"FieldID","Column","Row2","ID2","Northing","Easting","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",11,"N",324,5180981.404,493530.6382,1999,NA,"SW",477.6,2,"A",546.446315789474,0.874010833635124
"CookEast",12,"N",325,5180991.259,493562.5563,1999,NA,"SW",610.57,2,"A",546.446315789474,1.11734672255569
"CookEast",13,"P",372,5181049.555,493603.457,1999,NA,"SW",611.7,2,"A",546.446315789474,1.11941462926006
"CookEast",14,"Q",395,5181088.312,493626.398,1999,NA,"SW",323.81,2,"A",546.446315789474,0.592574221188001
"CookEast",15,"R",419,5181104.302,493648.3558,1999,NA,"SW",607.61,2,"A",546.446315789474,1.1119299049938
"CookEast",4,"B",21,5180591.83,493309.2174,1999,NA,"SW",539.39,3,"A",476.480952380952,1.13202846263779
"CookEast",5,"C",45,5180641.411,493323.2034,1999,NA,"SW",371.82,3,"A",476.480952380952,0.780345988946742
"CookEast",6,"C",46,5180640.23,493353.7002,1999,NA,"SW",444.82,3,"A",476.480952380952,0.933552532954897
"CookEast",6,"D",71,5180672.003,493360.3768,1999,NA,"SW",386.62,3,"A",476.480952380952,0.81140704170456
"CookEast",6,"E",98,5180703.771,493371.8625,1999,NA,"SW",553.2,3,"A",476.480952380952,1.16101178281248
"CookEast",7,"E",99,5180713.182,493403.7819,1999,NA,"SW",522.08,3,"A",476.480952380952,1.09569962322983
"CookEast",7,"F",125,5180744.966,493401.0687,1999,NA,"SW",543.84,3,"A",476.480952380952,1.14136776566295
"CookEast",8,"G",151,5180770.999,493417.8866,1999,NA,"SW",518.39,3,"A",476.480952380952,1.08795534723818
"CookEast",9,"H",178,5180794.569,493463.7189,1999,NA,"SW",575.01,3,"A",476.480952380952,1.20678486123465
"CookEast",10,"I",203,5180839.444,493480.4853,1999,NA,"SW",391.75,3,"A",476.480952380952,0.82217347418075
"CookEast",9,"J",227,5180856.118,493478.459,1999,NA,"SW",380.03,3,"A",476.480952380952,0.797576478348208
"CookEast",10,"J",228,5180871.195,493508.3822,1999,NA,"SW",133.54,3,"A",476.480952380952,0.280263039545877
"CookEast",11,"K",251,5180886.084,493509.3906,1999,NA,"SW",314.24,3,"A",476.480952380952,0.659501703960584
"CookEast",11,"L",274,5180917.842,493530.3407,1999,NA,"SW",677,3,"A",476.480952380952,1.42083329169207
"CookEast",12,"L",275,5180928.897,493560.6597,1999,NA,"SW",605.24,3,"A",476.480952380952,1.27022916021227
"CookEast",12,"M",300,5180959.474,493566.4152,1999,NA,"SW",536.06,3,"A",476.480952380952,1.12503972576728
"CookEast",13,"N",326,5180986.002,493594.4582,1999,NA,"SW",519.08,3,"A",476.480952380952,1.08940346388703
"CookEast",13,"O",350,5181017.773,493604.7208,1999,NA,"SW",603.51,3,"A",476.480952380952,1.26659837499126
"CookEast",14,"P",373,5181056.522,493635.3715,1999,NA,"SW",630.38,3,"A",476.480952380952,1.32299097550494
"CookEast",15,"Q",396,5181079.5,493658.2957,1999,NA,"SW",318.82,3,"A",476.480952380952,0.66911384055726
"CookEast",16,"R",420,5181110.736,493681.925,1999,NA,"SW",441.28,3,"A",476.480952380952,0.926123064930392
"CookEast",5,"A",1,5180579.262,493319.2802,1999,NA,"SW",448.74,4,"A",475.438260869565,0.943844946721926
